,date,home_team,away_team,home_pitcher_curr_era,home_pitcher_prev_era,home_pitcher_prev_ip,away_pitcher_curr_era,away_pitcher_prev_era,away_pitcher_prev_ip,pitcher_adv,home_curr_ops,home_prev_ops,away_curr_ops,away_prev_ops,home_curr_hr,home_prev_hr,away_curr_hr,away_prev_hr,home_team_curr_win_pct,home_team_prev_win_pct,home_team_curr_fir_avg,home_team_prev_fir_avg,away_team_curr_win_pct,away_team_prev_win_pct,away_team_curr_fir_avg,away_team_prev_fir_avg,park_rating,fir_result
1717,20180824,BAL,NYY,5.02,3.66,179.1,3.32,3.69,148.2,0,0.7368,0.6018,0.7858,0.9934,0.038570966764278417,0.042922537334734286,0.04286348157669546,0.0433054800496661,0.29100000000000004,0.46299999999999997,0.4453125,0.5617283950617284,0.627,0.562,0.7244094488188977,0.5740740740740741,1.026,1
1718,20180824,TOR,PHI,4.27,6.0,0.0,3.25,3.53,168.1,0,0.75725,0.7802500000000001,0.8270000000000002,0.8301999999999999,0.04665184950833985,0.04950952127231301,0.0296076669435425,0.04954312071327352,0.457,0.469,0.4094488188976378,0.5740740740740741,0.54,0.40700000000000003,0.5196850393700787,0.5123456790123457,0.946,1
1719,20180824,MIA,ATL,4.6,4.26,181.2,2.72,4.79,154.0,0,0.7669999999999999,0.3645,0.80725,0.8172499999999999,0.032515593986653935,0.01589242053789731,0.03046371366837318,0.02758522833391973,0.39799999999999996,0.475,0.4108527131782946,0.7716049382716049,0.563,0.444,0.6015625,0.4876543209876543,0.848,0
1720,20180824,TB,BOS,3.47,6.0,0.0,2.74,2.92,24.2,1,0.4903333333333333,0.3243333333333333,0.9876,0.8341999999999998,0.02275334081646188,0.07692307692307693,0.061008089378942976,0.05100972231607601,0.52,0.494,0.5234375,0.5246913580246914,0.695,0.574,0.6356589147286822,0.5246913580246914,0.902,0
1721,20180824,DET,CWS,4.5,3.83,164.2,4.72,4.53,47.2,0,0.7273999999999999,0.7518,0.7122,0.6092000000000001,0.0246117329848385,0.022827846550659867,0.04041303807764508,0.03217606148027965,0.409,0.395,0.5703125,0.4753086419753086,0.381,0.414,0.4765625,0.5925925925925926,1.169,1
1722,20180824,NYM,WAS,7.67,4.16,179.2,4.51,2.96,201.0,0,0.733,0.6060000000000001,0.8564,0.73,0.025399128317869314,0.04471725055016641,0.05063175275342848,0.05341538416884134,0.444,0.43200000000000005,0.5748031496062992,0.6666666666666666,0.504,0.599,0.625,0.654320987654321,0.858,1
1723,20180824,MIN,OAK,4.55,4.14,143.1,3.7,4.37,158.2,0,0.7712,0.7806,0.8356,0.693,0.024564704662127897,0.034526928643003316,0.04334694824512493,0.06898076963163678,0.47600000000000003,0.525,0.5078125,0.5370370370370371,0.598,0.46299999999999997,0.4921875,0.5679012345679012,1.095,0
1724,20180824,MIL,PIT,2.18,5.61,157.1,3.31,4.77,109.1,1,0.8538,0.8278000000000001,0.8004000000000001,0.6926,0.050956377915059664,0.043348679404081214,0.0390724375143874,0.018292664738645527,0.55,0.531,0.6511627906976745,0.7037037037037037,0.49200000000000005,0.46299999999999997,0.46875,0.6172839506172839,1.094,1
1725,20180824,KC,CLE,3.32,6.0,0.0,3.25,3.11,121.2,1,0.7014,0.7333999999999999,0.654,0.6634,0.027539132455838826,0.045759983121779986,0.051381022611124594,0.04812034927503353,0.299,0.494,0.609375,0.3765432098765432,0.579,0.63,0.7637795275590551,0.6419753086419753,0.9259999999999999,1
1726,20180824,COL,STL,4.47,4.68,134.2,2.8,6.0,0.0,0,0.8692500000000001,0.6815,0.8556666666666667,0.8246666666666668,0.052474764429457615,0.05588925328234895,0.0522670806530158,0.0443407787414881,0.5479999999999999,0.537,0.6771653543307087,0.5987654320987654,0.555,0.512,0.5390625,0.4506172839506173,1.3319999999999999,0
